Název,Kategorie,Adresa,E-mail,Telefon,Webová stránka,web,Matched
CDZ Hradec Králové (PDZ),CDZ - Centrum duševního zdraví,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",pdz-hk@pdz.cz,+420778526216,http://www.pdz.cz,,matched
CDZ Opava (Fokus Opava),CDZ - Centrum duševního zdraví,"Ostrožná 27/244, Opava 746 01, Moravskoslezský kraj",fokusopava@seznam.cz,,http://www.cdzopava.cz/,,matched
CDZ Chrudim (PDZ),CDZ - Centrum duševního zdraví,"Městský park 828, Chrudim III (část) 537 01, Pardubický kraj",pdz-cr@pdz.cz,,http://www.pdz.cz,,matched
CDZ Přerov (Duševní zdraví),CDZ - Centrum duševního zdraví,"Kosmákova 44, Přerov, Přerov I-Město 750 02, Olomoucký kraj",tym@cdzprerov.cz,+420583035220,http://dusevnizdravi.com/centrum-dusevniho-zdravi/,,matched
Psychiatrická ambulance Karlovy Vary,Psychiatrická ambulance,"Krymská 1799/25A, Karlovy Vary 360 01, Karlovarský kraj",vaclav.ferus@seznam.cz,+420353230878,https://mudr-vaclav-ferus.zdravotniregistr.cz/,,matched
Ordinace psychiatrie - psychoterapie,Psychiatrická ambulance,"Hlavní 263/122, Mariánské Lázně 353 01, Karlovarský kraj",psychoterapie.poradna@seznam.cz,+420354692253,http://www.ordinace.cz/ordinace/vo/design_10/profil.php?page=lekar&id=38061,,matched
Psychoterapie - Modré dveře,Psychoterapeutická ambulance,"Náměstí Smiřických 39, Kostelec nad Černými Lesy 281 63, Středočeský kraj",centrum.kostelec@modredvere.cz,+420702090603,http://www.modredvere.cz,,matched
Psychiatrická ambulance MUDr. Martin Čech,Psychiatrická ambulance,"Nebahovská 1015, Prachatice 383 01, Jihočeský kraj",psychiatrie.cech@centrum.cz,+420388600212,https://www.nempt.cz/ambulance/soukrome-ambulance/psychiatricka-ambulance/,,matched
PaedDr. et Mgr. Dagmar Hrubá psychoterapeut,Psychoterapeutická ambulance,"Zlatá stezka 138, Prachatice 383 01, Jihočeský kraj",info@dagmarhruba.cz,+420602416177,https://www.dagmarhruba.cz/cs/,,matched
Všeobecná ambulance psychiatrické kliniky,Psychiatrická ambulance,"Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj",slovackovab@lfhk.cuni.cz,+420495832597,https://www.fnhk.cz/psych/kliniky-ambulance.html,,matched
Poradna pro léčbu psychotických poruch,Psychiatrická ambulance,"Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj",masopustj@lfhk.cuni.cz,,https://www.fnhk.cz/psych/kliniky-ambulance.html,,matched
Poradna pro léčbu afektivních poruch,Psychiatrická ambulance,"Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj",kohlerr@lfhk.cuni.cz,,https://www.fnhk.cz/psych/kliniky-ambulance.html,,matched
Poradna pro poruchy spánku a biorytmů,Psychiatrická ambulance,"Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj",tuma@lfhk.cuni.cz,+420495832360,https://www.fnhk.cz/psych/kliniky-ambulance.html,,matched
Ambulance pro alkoholismus a jiné toxikomanie,Psychiatrická ambulance,"Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj",fnhk@fnhk.cz,+420495833232,https://www.fnhk.cz/psych/kliniky-ambulance.html#utm_source=firmy.cz&utm_medium=ppd&utm_content=kategorie&utm_term=Psychiatrick%c3%a9%20ambulance&utm_campaign=firmy.cz-12989534,,matched
