,Base Website,Scraped Page,formated_number
10791,https://www.homeopatiecz.com/,https://www.homeopatiecz.com/,+2000570
2478,http://www.sympathea.cz/,http://www.sympathea.cz/,+420015012920
2477,http://www.sympathea.cz/,http://www.sympathea.cz/,+420015020220
2502,http://www.sympathea.cz/,http://www.sympathea.cz/,+420015020713
2498,http://www.sympathea.cz/,http://www.sympathea.cz/,+420015100618
2497,http://www.sympathea.cz/,http://www.sympathea.cz/,+420015100619
2504,http://www.sympathea.cz/,http://www.sympathea.cz/,+420015121607
2483,http://www.sympathea.cz/,http://www.sympathea.cz/,+420016022821
2494,http://www.sympathea.cz/,http://www.sympathea.cz/,+420016040720
2499,http://www.sympathea.cz/,http://www.sympathea.cz/,+420016062919
2493,http://www.sympathea.cz/,http://www.sympathea.cz/,+420016071708
2491,http://www.sympathea.cz/,http://www.sympathea.cz/,+420016112305
2486,http://www.sympathea.cz/,http://www.sympathea.cz/,+420016122407
2474,http://www.sympathea.cz/,http://www.sympathea.cz/,+420017021519
2480,http://www.sympathea.cz/,http://www.sympathea.cz/,+420017070220
2506,http://www.sympathea.cz/,http://www.sympathea.cz/,+420017101805
2512,http://www.sympathea.cz/,http://www.sympathea.cz/,+420017101806
2492,http://www.sympathea.cz/,http://www.sympathea.cz/,+420017111110
2511,http://www.sympathea.cz/,http://www.sympathea.cz/,+420017121120
2471,http://www.sympathea.cz/,http://www.sympathea.cz/,+420018012819
2481,http://www.sympathea.cz/,http://www.sympathea.cz/,+420018071515
2507,http://www.sympathea.cz/,http://www.sympathea.cz/,+420018120216
2475,http://www.sympathea.cz/,http://www.sympathea.cz/,+420019030318
2482,http://www.sympathea.cz/,http://www.sympathea.cz/,+420019052219
2509,http://www.sympathea.cz/,http://www.sympathea.cz/,+420019072017
2479,http://www.sympathea.cz/,http://www.sympathea.cz/,+420019112621
10795,https://www.homeopatiecz.com/,https://www.homeopatiecz.com/,+420020003200
2505,http://www.sympathea.cz/,http://www.sympathea.cz/,+420020030621
2472,http://www.sympathea.cz/,http://www.sympathea.cz/,+420020030622
2487,http://www.sympathea.cz/,http://www.sympathea.cz/,+420021031807
2490,http://www.sympathea.cz/,http://www.sympathea.cz/,+420021041714
