,Website,Phone Numbers
0,http://www.pdz.cz,"121 407 9329, 64 24 22 18, 420 466 400 116"
1,http://www.medsix.cz/?option=com_content&view=article&id=48&Itemid=120#utm_source=firmy.cz&utm_medium=ppd&utm_campaign=firmy.cz-12830443,"483 341 232, 483 300 087, 483 310 919, 483 341 307, 483 341 308, 734 262 292, 483 341 217, 483 341 241, 481 120 478, 483 341 220, 483 341 253, 483 341 226, 483 317 222, 483 341 267, 483 341 275, 483 341 234, 483 341 225, 483 341 224, 483 341 254, 483 341 259, 777 245 860, 725 794 446, 483 341 222, 483 341 302, 483 341 306, 731 175 824, 483 341 237, 773 226 753, 483 306 075, 483 341 290, 483 341 218, 483 341 111, 702 956 482, 483 341 231, 483 341 219"
2,https://www.osbonanza.cz,
3,https://www.svetlokadanzs.cz,
4,https://jindrichuvhradec.charita.cz/sluzba/852/,"731 402 982, 731 604 554, 605 849 877"
5,https://www.homeopatiecz.com/,"777 169 278, 736 660 315, 777 146 760, 725 768 435, 737 105 202"
6,https://www.hipojupiter.cz,
7,http://www.ponton.cz/,773 334 363
8,https://www.znamylekar.cz/vasilij-storcak/psychiatr/karlovy-vary,
9,http://www.pppkhk.cz/,
10,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ceske-budejovice/psychiatrie/,"420 387 730 511, 420 387 730 202, 420 734 242 059"
11,http://www.adiktologickecentrum.cz/kontakt/10-kolin,"420 603 867 385, 420 733 193 646"
12,http://www.armadaspasy.cz/havirov,
13,http://www.psychoterapeuti.cz/adresar-psychoterapeutu/item/64-vrba-ludek-phdr,"284 016 451, 736 660 315, 530 334 600, 775 182 608, 257 322 366, 776 736 832, 603 420 463, 737 407 739, 603 223 510, 774 979 714, 581 204 437-8, 233 351 741, 604 207 640, 739 071 204, 732 976 301, 222 324 027, 596 410 251, 558 900 228, 271 733 456, 737 444 577, 606 075 240, 603 211 142, 475 221 012, 774 918 150, 792 239 917, 420603574572, 284 016 355, 731 249 809, 733 312 172, 792 536 180, 602 737 026, 607 669 006, 776 871 255, 777 206 525, 222 711 875, 581 679 310, 734 801 560, 420 739 059 690, 420 608383355, 770 623 916, 222 531 008, 724 614 509, 261 105 410, 222 324 277"
14,http://palimpsest.cz/,"420 608 069 973, 420 732 601 387, 420 606 166 109, 420 224 829 004"
15,http://www.psychoterapeuti.cz/adresar-psychoterapeutu/item/60-telerovsky-roman-mgr,"284 016 451, 736 660 315, 530 334 600, 775 182 608, 257 322 366, 776 736 832, 603 420 463, 737 407 739, 603 223 510, 774 979 714, 581 204 437-8, 233 351 741, 604 207 640, 739 071 204, 732 976 301, 222 324 027, 596 410 251, 558 900 228, 271 733 456, 737 444 577, 606 075 240, 603 211 142, 475 221 012, 774 918 150, 792 239 917, 420603574572, 284 016 355, 731 249 809, 733 312 172, 792 536 180, 602 737 026, 607 669 006, 776 871 255, 777 206 525, 222 711 875, 581 679 310, 734 801 560, 420 739 059 690, 420 608383355, 770 623 916, 222 531 008, 724 614 509, 261 105 410, 222 324 277"
16,https://www.jablonec.diakonie.cz,
17,http://psychologslany.cz/index_sl.html,
18,https://www.cppt.cz/nase-zarizeni/adiktologicka-a-preventivni-ambulance-21,602 686 893
19,http://www.at-ambulance.cz/,420 567 574 555
20,http://znojmo.charita.cz/,"515 220 768, 20242023202220212020201920182017, 2019201820172016"
21,https://www.kocero.cz,772 003 335602 433 628721 033794
22,https://www.hranice.charita.cz,581 606 615
23,https://www.csstachov.cz/rodinna-poradna/o-poradne,777 483 083
24,http://www.riaps.cz/ambulance,
25,http://www.psychicus.cz,"420 731 692 505, 420) 731 692 505, 731 692 505"
26,https://psychiatriekv.cz/,"774 317 577, 420 774 317 577"
27,http://www.psychoterapeuti.cz/adresar-psychoterapeutu/item/67-sojka-vlastimil-phdr,"284 016 451, 736 660 315, 530 334 600, 775 182 608, 257 322 366, 776 736 832, 603 420 463, 737 407 739, 603 223 510, 774 979 714, 581 204 437-8, 233 351 741, 604 207 640, 739 071 204, 732 976 301, 222 324 027, 596 410 251, 558 900 228, 271 733 456, 737 444 577, 606 075 240, 603 211 142, 475 221 012, 774 918 150, 792 239 917, 420603574572, 284 016 355, 731 249 809, 733 312 172, 792 536 180, 602 737 026, 607 669 006, 776 871 255, 777 206 525, 222 711 875, 581 679 310, 734 801 560, 420 739 059 690, 420 608383355, 770 623 916, 222 531 008, 724 614 509, 261 105 410, 222 324 277"
28,http://www.svetlokadanzs.cz,
29,http://www.psychiatrie-konupcikova.cz/kontakt.htm,420608971030
30,https://psychologicka-poradna-tabor.cz,
31,https://www.firmy.cz/detail/384787-mudr-zdenka-nejdlova-domazlice-horejsi-predmesti.html,420 603 256 559
32,http://www.jahoda.cz/,
33,http://www.profem.cz/,"608 222 277, 608 22 22 77"
34,https://www.ckrumlov.charita.cz,
35,http://www.csdzo.unas.cz/,
36,https://www.dopatra.cz,420 495 260 704
37,https://www.sance.chrudim.cz,
38,https://www.znamylekar.cz/nadezda-kramarova/psychiatr/ceske-budejovice,
39,http://www.arka-alkohol.cz/,734 377 810
40,http://www.sance.chrudim.cz/,469 623 501
41,https://www.modrykriz.org/,
42,http://www.openhousebruntal.cz/,420 725 431 622
43,http://www.psy-dobiasova.cz/,
44,https://www.nadeje.cz,"14817148001478814735, 2013 - 2024, 2655221521762158, 420 775 868 858"
45,https://klatovy.nemocnicepk.cz,
46,http://www.pppkarvina.cz/,"603 405 327, 420 597 582 370, 420 734 355 984, 420 739 086 845, 420 597 582 372, 420 603 405 327, 420 730 185 932, 420 733 674 890"
47,psychoporadnahk.cz,
48,https://www.ostrava-psycholog.cz/,"420 736 210 321, 2009 - 2012, 2008 - 2010"
49,https://www.firmy.cz/detail/12762133-norbertinum-pelhrimov.html,"321 719 890, 420 565 321 232"
