,Website,Phone Numbers
0,https://psychologicka-poradna-tabor.cz,
1,http://www.fokustabor.cz/centrum-dusevniho-zdravi-_-komunitni-tym-tabor,
2,http://psychiatrie-rokycany.cz/,
3,http://klubtulip.cz,"606 672 239, 725 520 998"
4,http://kppp-plzen.cz/,
5,https://www.animaviva.cz,
6,http://www.arcana.cz/,
7,https://www.cinka-decin.cz,
8,http://www.fokuslabe.cz,
9,http://www.sterba.mypage.cz/,
10,http://psychologslany.cz/index_sl.html,
11,https://www.vaspsychiatr.cz,
12,http://www.ppppraha.cz/,
13,https://www.dumrk.cz,
14,http://www.svetlokadanzs.cz,
15,https://www.dagmarhruba.cz/cs/,
16,https://www.a-shine.cz/,
17,http://www.zajicova-psychologie.cz/,
18,http://www.prevcentrum.cz/nzdm,
19,https://www.spolekkolumbus.cz/,
20,http://www.porceta.cz,
21,https://www.statekvlckovice.cz,
22,https://www.freeklub.cz,
23,http://www.riaps.cz/ambulance/,
24,https://www.centrumkamarad.eu,
25,klinicka.psychologie.decin@seznam.cz,
26,https://www.ddzbraslav.cz/?page_id=12,
27,http://www.psychoterapeuti.cz/mspsychiatrie.cz,
28,https://www.psycholog-analytik.cz/,
29,psychoporadnahk.cz,
30,https://www.jihoceskarozvojova.cz/sluzby/sluzby-pro-rodinu.html,
31,https://www.znamylekar.cz/milan-stepanovic/psycholog/liberec,
32,yveta.mikulicova@phdrmikulicova.cz,
33,https://www.ppp6.cz/,
34,http://www.vithoigr.cz/,
35,https://alia13.webnode.cz/,
36,http://www.ppp10.eu/,
37,nnm.cz/ambulance-detail?id=049,
38,https://www.csspraha.cz/krizove-centrum-riaps-krizova-intervence-a-psychologicka-podpora,
39,http://www.ckrumlov.charita.cz,
40,https://www.cepsymed.cz/o-nas.html,
41,https://www.cppt.cz/nase-zarizeni/ambulance-pro-nelatkove-zavislosti,
42,https://www.diakonievm.cz/nase-sluzby/sluzby-k-podpore-domaci-pece/poradna-pro-pecujici/,
43,https://www.psy-dobiasova.cz,
44,http://www.zdar.charita.cz,
45,https://www.znamylekar.cz/vasilij-storcak/psychiatr/karlovy-vary,
46,http://www.leccos.cz,
47,psycholog-hradec-kralove.cz,
48,danuse.jandourkova@ckp-dobrichovice.cz,
49,https://www.znamylekar.cz/jan-kovar/psycholog-detsky-psycholog/tabor,
50,http://www.slunce.info,
51,https://www.terapeutika.cz/,
52,http://www.slunce.info/,
53,https://www.futra.cz,
54,https://www.alfafarm.cz/lekarsky-dum/paeddr-mgr-yvona-obrucova/,
55,https://www.eeg-biofeedback-hradec.cz,
56,https://cz.linkedin.com/in/jana-kohnov%C3%A1-8a486057,
57,https://www.unko.cz/,
58,https://www.osbonanza.cz,
59,http://www.pdz.cz/czd-pa.html,
60,http://www.magdalena-ops.cz/,
61,http://www.riaps.cz/poradna/,
62,mudrgrimova@centrum.cz,
63,https://www.psychiatriestrakonice.cz/,
64,http://kairos-hk.cz/nabizene-sluzby/,
