Name;API Name;Phone;Phone Match;API Phone;Address;API Address;Email;Web;API Web;API Opening Hours
CDZ Hradec Králové (PDZ);Péče o duševní zdraví středisko Hradec Králové;778 526 216;PRAVDA;778 526 216;Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj;1, Kavčí plácek 121, 500 03 Hradec Králové-Hradec Králové 3, Czechia;pdz-hk@pdz.cz;http://www.pdz.cz;http://www.pdz.cz/;
CDZ Opava (Fokus Opava);FOKUS Opava;553 652 433, 723 457 998;PRAVDA;553 652 433;Ostrožná 27/244, Opava 746 01, Moravskoslezský kraj;Lepařova 8/2906, 746 01 Opava-Opava 1, Czechia;fokusopava@seznam.cz;http://www.cdzopava.cz/;http://www.fokusopava.cz/vavrovicka_kontakt.php;
CDZ Chrudim (PDZ);Péče o duševní zdraví středisko Chrudim;469 626 383, 774 915 755;PRAVDA;774 915 755;Městský park 828, Chrudim III (část) 537 01, Pardubický kraj;Městský park 828, 537 01 Chrudim-Chrudim 1, Czechia;pdz-cr@pdz.cz;http://www.pdz.cz;https://pdz.cz/stredisko-pece-o-dusevni-zdravi-chrudim/;
CDZ Přerov (Duševní zdraví);Centrum duševního zdraví Přerov;583 035 220;PRAVDA;583 035 220;Kosmákova 44, Přerov, Přerov I-Město 750 02, Olomoucký kraj;Wurmova 3662/7a, 750 02 Přerov-Přerov 2, Czechia;tym@cdzprerov.cz;http://dusevnizdravi.com/centrum-dusevniho-zdravi/;http://cdz-prerov.cz/home/;{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1600'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '1600'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']}
Psychiatrická ambulance Karlovy Vary;Psychiatrická ambulance;353 230 878;PRAVDA;353 230 878;Krymská 1799/25A, Karlovy Vary 360 01, Karlovarský kraj;Krymská, 360 01 Karlovy Vary-Karlovy Vary 1, Czechia;vaclav.ferus@seznam.cz;https://mudr-vaclav-ferus.zdravotniregistr.cz/;;
Ordinace psychiatrie - psychoterapie;Soukromá ordinace psychiatrie a psych.sexuologie;354 692 253;NEPRAVDA;731 692 505;Hlavní 263/122, Mariánské Lázně 353 01, Karlovarský kraj;Boloňská 312, 109 00 Praha 10, Czechia;psychoterapie.poradna@seznam.cz;http://www.ordinace.cz/ordinace/vo/design_10/profil.php?page=lekar&id=38061;http://www.psychicus.cz/;
Psychoterapie - Modré dveře;Terapeutické centrum Modré dveře, z.ú.;702 090 603;NEPRAVDA;725 830 830;Náměstí Smiřických 39, Kostelec nad Černými Lesy 281 63, Středočeský kraj;nám. Smiřických 39, 281 63 Kostelec nad Černými lesy, Czechia;centrum.kostelec@modredvere.cz;http://www.modredvere.cz;http://www.modredvere.cz/;{'open_now': False, 'periods': [{'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '0800'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: Closed', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']}
Psychiatrická ambulance MUDr. Martin Čech;Psychiatrická ambulance;388600212;NEPRAVDA;388 316 762;Nebahovská 1015, Prachatice 383 01, Jihočeský kraj;Horní 180, 383 01 Prachatice, Czechia;psychiatrie.cech@centrum.cz;https://www.nempt.cz/ambulance/soukrome-ambulance/psychiatricka-ambulance/;;
PhDr. Petra Fraško Burkhardová klinický psycholog;;601587034;NEPRAVDA;No phone number available;Nebahovská 1015, Prachatice 383 01, Jihočeský kraj;Not found;pburkhardova@seznam.cz;;;
PhDr. Anna Klimperová klinický psycholog;PhDr. Anna Klimperová - klinická psychologie, psychologické poradenství;388 316 241;PRAVDA;388 316 241;Nemocniční 204, Prachatice 383 01, Jihočeský kraj;Nemocniční 204, 383 01 Prachatice, Czechia;a@seznam.cz;;;
