Název,Kategorie,Adresa,E-mail,Telefon,Webová stránka
CDZ Hradec Králové (PDZ),CDZ - Centrum duševního zdraví,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",pdz-hk@pdz.cz,778 526 216,http://www.pdz.cz
CDZ Opava (Fokus Opava),CDZ - Centrum duševního zdraví,"Ostrožná 27/244, Opava 746 01, Moravskoslezský kraj",fokusopava@seznam.cz,"553 652 433, 723 457 998",http://www.cdzopava.cz/
CDZ Chrudim (PDZ),CDZ - Centrum duševního zdraví,"Městský park 828, Chrudim III (část) 537 01, Pardubický kraj",pdz-cr@pdz.cz,"469 626 383, 774 915 755",http://www.pdz.cz
CDZ Přerov (Duševní zdraví),CDZ - Centrum duševního zdraví,"Kosmákova 44, Přerov, Přerov I-Město 750 02, Olomoucký kraj",tym@cdzprerov.cz,583 035 220,http://dusevnizdravi.com/centrum-dusevniho-zdravi/
Psychiatrická ambulance Karlovy Vary,Psychiatrická ambulance,"Krymská 1799/25A, Karlovy Vary 360 01, Karlovarský kraj",vaclav.ferus@seznam.cz,353 230 878,https://mudr-vaclav-ferus.zdravotniregistr.cz/
Ordinace psychiatrie - psychoterapie,Psychiatrická ambulance,"Hlavní 263/122, Mariánské Lázně 353 01, Karlovarský kraj",psychoterapie.poradna@seznam.cz,354 692 253,http://www.ordinace.cz/ordinace/vo/design_10/profil.php?page=lekar&id=38061
Psychoterapie - Modré dveře,Psychoterapeutická ambulance,"Náměstí Smiřických 39, Kostelec nad Černými Lesy 281 63, Středočeský kraj",centrum.kostelec@modredvere.cz,702 090 603,http://www.modredvere.cz
Psychiatrická ambulance MUDr. Martin Čech,Psychiatrická ambulance,"Nebahovská 1015, Prachatice 383 01, Jihočeský kraj",psychiatrie.cech@centrum.cz,388600212,https://www.nempt.cz/ambulance/soukrome-ambulance/psychiatricka-ambulance/
PhDr. Petra Fraško Burkhardová klinický psycholog,Klinický psycholog,"Nebahovská 1015, Prachatice 383 01, Jihočeský kraj",pburkhardova@seznam.cz,601587034,
PhDr. Anna Klimperová klinický psycholog,Klinický psycholog,"Nemocniční 204, Prachatice 383 01, Jihočeský kraj",a@seznam.cz,388 316 241,
PaedDr. et Mgr. Dagmar Hrubá psychoterapeut,Psychoterapeutická ambulance,"Zlatá stezka 138, Prachatice 383 01, Jihočeský kraj",info@dagmarhruba.cz,602 416 177,https://www.dagmarhruba.cz/cs/
Všeobecná ambulance psychiatrické kliniky,Psychiatrická ambulance,"Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj",slovackovab@lfhk.cuni.cz,495832597,https://www.fnhk.cz/psych/kliniky-ambulance.html
Poradna pro léčbu psychotických poruch,Psychiatrická ambulance,"Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj",masopustj@lfhk.cuni.cz,"495 833 478, 495 834 271",https://www.fnhk.cz/psych/kliniky-ambulance.html
Poradna pro léčbu afektivních poruch,Psychiatrická ambulance,"Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj",kohlerr@lfhk.cuni.cz,"495 383 456, 495 833 365",https://www.fnhk.cz/psych/kliniky-ambulance.html
Poradna pro poruchy spánku a biorytmů,Psychiatrická ambulance,"Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj",tuma@lfhk.cuni.cz,495832360,https://www.fnhk.cz/psych/kliniky-ambulance.html
Ambulance pro alkoholismus a jiné toxikomanie,Psychiatrická ambulance,"Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj",fnhk@fnhk.cz,495 833 232,https://www.fnhk.cz/psych/kliniky-ambulance.html#utm_source=firmy.cz&utm_medium=ppd&utm_content=kategorie&utm_term=Psychiatrick%c3%a9%20ambulance&utm_campaign=firmy.cz-12989534
Ambulantní péče o osoby s duševním onemocněním,Psychiatrická ambulance,"Klicperova 6, Hořice 508 01, Královéhradecký kraj",horice@vaspsychiatr.cz,"493 522 029, 777 757 314",www.vaspsychiatr.cz
"Psychiatrická ambulance - EGOMED, s.r.o.",Psychiatrická ambulance,"Dr. Ed. Beneše 191, Jaroměř 551 01, Královéhradecký kraj",cernikovalenka@email.cz,725 811 963,https://www.firmy.cz/detail/12844251-egomed-jaromer-prazske-predmesti.html
"Psychiatrická ambulance Hradec Králové - EGOMED, s.r.o.",Psychiatrická ambulance,"Tomkova 181/9, Hradec Králové (část) 500 03, Královéhradecký kraj",cernikovalenka@email.cz,725 811 963,https://www.firmy.cz/detail/12844248-egomed-hradec-kralove.html
Psychiatrická ambulance MUDr. Kateřiny Konupčíkové - Hradec Králové,Psychiatrická ambulance,"Ulrichovo náměstí 762, Hradec Králové (část) 500 02, Královéhradecký kraj",ambulance@psychiatrie-konupcikova.cz,608971030,http://www.psychiatrie-konupcikova.cz/kontakt.htm
Psychiatrická ambulance MUDr. Kateřiny Konupčíkové - Vrchlabí,Psychiatrická ambulance,"Komenského 63, Vrchlabí (část) 543 01, Královéhradecký kraj",ambulance@psychiatrie-konupcikova.cz,608971030,www.psychiatrie-konupcikova.cz
