Název,Kategorie,Adresa,E-mail,Telefon,Webová stránka,web,Matched,Source
CDZ Hradec Králové (PDZ),CDZ - Centrum duševního zdraví,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",pdz-hk@pdz.cz,+420778526216,http://www.pdz.cz,,matched,"scraped_contacts_telefon, scraped_contacts_email"
"ARKA CZ, z.s.",Terénní programy pro děti a mládež,"Gregorova 2427/2, Moravská Ostrava, 702 00 Ostrava",arka@email.cz,+420734377810,http://www.arka-alkohol.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Streetwork v Třinci,Terénní programy pro děti a mládež,"Jablunkovská 110, Lyžbice, 739 61 Třinec",streetwork.trinec@bunkr.cz,+420739401802,http://www.bunkr.cz/,,matched,scraped_contacts_telefon
Streetwork pro města Český Krumlov a Kaplice,Terénní programy pro děti a mládež,"T. G. Masaryka 114, Latrán, 381 01 Český Krumlov",cpdm@icmck.cz,+420736634126,http://www.icmck.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
"DRUG-OUT Klub, z.s. - Terénní program Postoloprty",Terénní programy pro děti a mládež,"Velká Hradební 13/47, Ústí nad Labem-centrum, 400 01 Ústí nad Labem",drugout@volny.cz,+420475210626,http://www.drugout.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Streetwork Beztíže,Terénní programy pro děti a mládež,"Na Balkáně 2866/17a, Praha 3-Žižkov, 130 00 Praha",info@ulita.cz,+420271771026,http://www.ulita.cz/,,matched,scraped_contacts_email
Rebel,Terénní programy pro děti a mládež,"Husova 3294, Frýdek, 738 01 Frýdek-Místek",rebel@charitafm.cz,+420733676671,http://www.charitafm.cz/,,matched,scraped_contacts_telefon
Terénní program Cheiron T,Terénní programy pro děti a mládež,"Děkanská 302, Tábor, 390 01 Tábor",cheiront@cheiront.cz,+420381257624,http://www.cheiront.cz/,,matched,scraped_contacts_email
Terén Jahoda,Terénní programy pro děti a mládež,"Vybíralova 969/2, Praha 14-Černý Most, 198 00 Praha",vendula.fendrychova@jahoda.cz,+420774674060,http://www.jahoda.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
"Linka důvěry České Budějovice, o.p.s.",Telefonická krizová pomoc - pro děti a mládež,"Nádražní 105/47, České Budějovice 6, 370 01 České Budějovice",spramv@gmail.com,+420387313030,http://www.rodinnaporadnacb.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
"Krystal Help, z.ú.",Terénní programy pro děti a mládež,"E. F. Buriana 908/1, Pod Bezručovým vrchem, 794 01 Krnov",krystal.krnov@seznam.cz,+420554620177,http://www.krystalhelp.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Terénní program Magdaléna - Berounsko a Rakovnicko,Terénní programy pro děti a mládež,"Havlíčkova 1732, Beroun-Město, 266 01 Beroun",gelbicova@magdalena-ops.cz,+420739652383,http://www.magdalena-ops.eu/,,matched,scraped_contacts_telefon
Terénní program Magdaléna - Příbramsko a Praha západ,Terénní programy pro děti a mládež,"Žežická 193, Příbram VII, 261 01 Příbram",chaloupkova@magdalena-ops.cz,+420737391214,http://www.magdalena-ops.eu/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
D.R.A.K. - Liberec,Terénní programy pro děti a mládež,"Oblačná 450/1, Liberec V-Kristiánov, 460 05 Liberec",info@sdruzenidrak.org,+420485102668,http://www.sdruzenidrak.cz/,,matched,scraped_contacts_telefon
D.R.A.K. - Turnov,Terénní programy pro děti a mládež,"Antonína Dvořáka 2243, Turnov, 511 01 Turnov",info@sdruzenidrak.org,+420602440731,http://www.sdruzenidrak.cz/,,matched,scraped_contacts_telefon
D.R.A.K. - Hrádek nad Nisou,Terénní programy pro děti a mládež,"Václavská 471, 463 34 Hrádek nad Nisou",info@sdruzenidrak.org,+420602440731,http://www.sdruzenidrak.cz/,,matched,scraped_contacts_telefon
OPEN HOUSE o.p.s. - Služby drogové prevence Bruntál,Terénní programy pro děti a mládež,"Zahradní 1455/1, Bruntál, 792 01 Bruntál",sdpopenhouse@seznam.cz,+420775096713,http://www.openhousebruntal.cz/,,matched,scraped_contacts_telefon
