Název,Kategorie,Adresa,E-mail,Telefon,Webová stránka,web,Matched,Source,New Contact,New Matched
CDZ Hradec Králové (PDZ),CDZ - Centrum duševního zdraví,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",pdz-hk@pdz.cz,+420778526216,http://www.pdz.cz,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
CDZ Opava (Fokus Opava),CDZ - Centrum duševního zdraví,"Ostrožná 27/244, Opava 746 01, Moravskoslezský kraj",fokusopava@seznam.cz,romana.ruzickova@cdzopava.cz,http://www.cdzopava.cz/,,new_email_match,,"['romana.ruzickova@cdzopava.cz', 'viliam.kusnir@cdzopava.cz', 'zuzana.stanova@cdzopava.cz', 'lenka.bilerova@cdzopava.cz', 'natalie.ambruzova@cdzopava.cz', 'socialni@cdzopava.cz', 'renata.galacova@cdzopava.cz', 'klaskova@pnopava.cz', 'kontakt@cdzopava.cz', 'besta@pnopava.cz']",new_email_match
CDZ Chrudim (PDZ),CDZ - Centrum duševního zdraví,"Městský park 828, Chrudim III (část) 537 01, Pardubický kraj",pdz-cr@pdz.cz,,http://www.pdz.cz,,matched,scraped_contacts_email,,
CDZ Přerov (Duševní zdraví),CDZ - Centrum duševního zdraví,"Kosmákova 44, Přerov, Přerov I-Město 750 02, Olomoucký kraj",tym@cdzprerov.cz,+420583035220,http://dusevnizdravi.com/centrum-dusevniho-zdravi/,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
Psychiatrická ambulance Karlovy Vary,Psychiatrická ambulance,"Krymská 1799/25A, Karlovy Vary 360 01, Karlovarský kraj",vaclav.ferus@seznam.cz,+420353230878,https://mudr-vaclav-ferus.zdravotniregistr.cz/,,matched,maps_contacts_telefon,,
Ordinace psychiatrie - psychoterapie,Psychiatrická ambulance,"Hlavní 263/122, Mariánské Lázně 353 01, Karlovarský kraj",psychoterapie.poradna@seznam.cz,+420354692253,http://www.ordinace.cz/ordinace/vo/design_10/profil.php?page=lekar&id=38061,,matched,scraped_contacts_telefon,,
Psychoterapie - Modré dveře,Psychoterapeutická ambulance,"Náměstí Smiřických 39, Kostelec nad Černými Lesy 281 63, Středočeský kraj",centrum.kostelec@modredvere.cz,+420702090603,http://www.modredvere.cz,,matched,scraped_contacts_telefon,,
Psychiatrická ambulance MUDr. Martin Čech,Psychiatrická ambulance,"Nebahovská 1015, Prachatice 383 01, Jihočeský kraj",psychiatrie.cech@centrum.cz,+420388600212,https://www.nempt.cz/ambulance/soukrome-ambulance/psychiatricka-ambulance/,,new_email_match,,"['kvalita@nempt.cz', 'sekretariat@nempt.cz', 'sekretariat@nempt.czdatov', 'belohlavkova@nempt.cz', '', 'leseticky@jihnem.cz', 'kvetonova@nempt.cz']",new_email_match
PaedDr. et Mgr. Dagmar Hrubá psychoterapeut,Psychoterapeutická ambulance,"Zlatá stezka 138, Prachatice 383 01, Jihočeský kraj",info@dagmarhruba.cz,+420602416177,https://www.dagmarhruba.cz/cs/,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
Všeobecná ambulance psychiatrické kliniky,Psychiatrická ambulance,"Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj",slovackovab@lfhk.cuni.cz,+420495832597,https://www.fnhk.cz/psych/kliniky-ambulance.html,,matched,scraped_contacts_telefon,,
Poradna pro léčbu psychotických poruch,Psychiatrická ambulance,"Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj",masopustj@lfhk.cuni.cz,+420495383456,https://www.fnhk.cz/psych/kliniky-ambulance.html,,new_phone_match,,"['+420495383456', '+420495383456', '+420495441105', '+420495441105', '+420495514515', '+420495514515', '+420495800951', '+420495800951', '+420495800955', '+420495800955', '+420495831111', '+420495831111', '+420495832100', '+420495832100', '+420495832221', '+420495832221', '+420495832317', '+420495832317', '+420495832410', '+420495832410', '+420495832597', '+420495832597', '+420495832874', '+420495832874', '+420495833232', '+420495833232', '+420495833365', '+420495833365', '+420495833746', '+420495833746', '+420495833783', '+420495833783', '+420495833823', '+420495833823', '+420495834933', '+420495834933', '+420495834934', '+420495834934', '+420495837211', '+420495837211']",new_phone_match
Poradna pro léčbu afektivních poruch,Psychiatrická ambulance,"Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj",kohlerr@lfhk.cuni.cz,+420495383456,https://www.fnhk.cz/psych/kliniky-ambulance.html,,new_phone_match,,"['+420495383456', '+420495383456', '+420495441105', '+420495441105', '+420495514515', '+420495514515', '+420495800951', '+420495800951', '+420495800955', '+420495800955', '+420495831111', '+420495831111', '+420495832100', '+420495832100', '+420495832221', '+420495832221', '+420495832317', '+420495832317', '+420495832410', '+420495832410', '+420495832597', '+420495832597', '+420495832874', '+420495832874', '+420495833232', '+420495833232', '+420495833365', '+420495833365', '+420495833746', '+420495833746', '+420495833783', '+420495833783', '+420495833823', '+420495833823', '+420495834933', '+420495834933', '+420495834934', '+420495834934', '+420495837211', '+420495837211']",new_phone_match
