Unnamed: 0,Název,Kategorie,Adresa,E-mail,Telefon,Webová stránka,Valid Web,Web Validation,Matched,Notes,Source,New Contact,New Matched,web
1,Ambulantní péče o osoby s duševním onemocněním,Psychiatrická ambulance,"Klicperova 6, Hořice 508 01, Královéhradecký kraj",horice@vaspsychiatr.cz,,www.vaspsychiatr.cz,https://www.mudrwolna.cz/ ,https://www.mudrwolna.cz/ ,unmatched,"https://www.mudrwolna.cz/ (POZNÁMKA: podle všeho by to měla být ona, ale nejsem si jistý, tak na 99% je to asi ona)",,,,https://www.vaspsychiatr.cz
10,Mgr. Dagmar Jakubská - Soukromá psychologická praxe,Psychologická ambulance,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",dagmar.jakubska@seznam.cz,+420777819645,http://www.psycholog-hk.cz/,https://psycholog-hk.eu/contact/,https://psycholog-hk.eu/contact/,matched,,"scraped_contacts_telefon, scraped_contacts_email",,,
12,Mgr. René Hůlek - Psychologická poradna,Psychologická ambulance,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",rene@hulek.cz,+420608970783,https://search.seznam.cz/?q=psycholog+hradec+kr%C3%A1lov%C3%A9&oq=psycholog+Hradec+&aq=1&sourceid=top&thru=sugend&sId=puFsObCO0i8VnJrk8ZoV&sgId=MTA5Nzc3MzkgMTYxMDk2ODAxNS42NzA%3D&overlay_type&overlay_id,https://www.najdipomoc.cz/detail/psycholog/mgr-rene-h-lek/,https://www.najdipomoc.cz/detail/psycholog/mgr-rene-h-lek/,matched,tohle není jeho osobní stránka ale asi jediná stránka s kontaktními údaji,"scraped_contacts_telefon, scraped_contacts_email",,,
14,EEG - Biofeedback,Psychologická ambulance,"Machkova 587/42, Hradec Králové (část) 503 11, Královéhradecký kraj",noskovi.hk@gmail.com,,www.eeg-biofeedback-hradec.cz,https://www.eeg-biofeedback-hradec.cz/,?,unmatched,"Nejde najít - nemá web, nejde najít",,,,https://www.eeg-biofeedback-hradec.cz
23,Mgr. Martin Brož - Psychologická poradna,Psychologická ambulance,"Velké náměstí 19/29, Hradec Králové (část) 500 03, Královéhradecký kraj",martinbroz@mb-psychoterapie.cz,+420721710198,mb-psychoterapie.cz,http://www.mb-psychoterapie.cz/,http://www.mb-psychoterapie.cz/,matched,"tohle je správně, asi to nenašlo kontakt protože je to hned dole na main stránce",scraped_contacts_telefon,,,
25,Psychoterapeutická poradna TERAPEUTOVNA,Psychoterapeutická ambulance,"S. K. Neumanna 250/4, Hradec Králové (část) 500 02, Královéhradecký kraj",psychoterapeutovna@gmail.com,+420775727068,www.psycholozkazpatehopatra.cz,https://psycholozkazpatehopatra.cz/,https://psycholozkazpatehopatra.cz/,unmatched," - tohle je taky v poho, ale problém je že telefonní číslo a email jsou na jiném místě",,,,https://www.psycholozkazpatehopatra.cz
26,"AKAP centrum, s.r.o.",Psychologická ambulance,"V Kopečku 163/19, Hradec Králové (část) 500 03, Královéhradecký kraj",akapcentrum@gmail.com,+420603739658,asistovanekontakty.cz,https://www.facebook.com/asistovanekontakty/ ,https://www.facebook.com/asistovanekontakty/ ,unmatched,nefunguje stránka ale funguje FB :,,,,
28,Centrum duševního zdraví a komunitní centrum Tábor,CDZ - Centrum duševního zdraví,"Mostecká 2087, Tábor (část) 390 02, Jihočeský kraj",fokustabor@fokustabor.cz,+420731209156,http://www.fokustabor.cz/centrum-dusevniho-zdravi-_-komunitni-tym-tabor,http://www.fokustabor.cz/kontakty,http://www.fokustabor.cz/kontakty,matched,,scraped_contacts_email,,,
29,CDZ Ostrava,CDZ - Centrum duševního zdraví,"Kafkova 1116/13, Moravská Ostrava (část) 702 00, Moravskoslezský kraj",info@cdzostrava.cz,+420595223166,cdzostrava.cz,http://cdzostrava.cz/kontakt/,http://cdzostrava.cz/kontakt/,matched,,"scraped_contacts_telefon, scraped_contacts_email",,,
30,Ailia psychiatrická ambulance Milevsko,Psychiatrická ambulance,"Nádražní 1383, Milevsko 399 01, Jihočeský kraj",ailia1@centrum.cz,+420777110607,https://alia13.webnode.cz/,https://alia13.webnode.cz/kde-nas-najdete/,https://alia13.webnode.cz/kde-nas-najdete/,matched,,scraped_contacts_email,,,
32,Ambulance klinické psychologie - Nemocnice Havlíčkův Brod,Psychologická ambulance,"Husova 2624, Havlíčkův Brod 580 01, Kraj Vysočina",irena.komendova@onhb.cz,+420569472306,onhb.cz/Article.asp?nDepartmentID=256&nArticleID=341&nLanguageID=1,http://www.onhb.cz/article.asp?nArticleID=341&nLanguageID=1,http://www.onhb.cz/article.asp?nArticleID=341&nLanguageID=1,matched,,scraped_contacts_telefon,,,
36,Ambulance klinického psychologa - Nemocnice Jihlava,Klinický psycholog,"Vrchlického 4630/59, Jihlava (část) 586 01, Kraj Vysočina",vitekd@nemji.cz,+420567157417,https://nemji.cz/vismo/o_utvar.asp?id_org=427000&id_u=1019&tzv=2&p1=1154,https://www.nemji.cz/kontakty/,https://www.nemji.cz/kontakty/,unmatched,,,,,
55,Psychiatrická ambulance - Klatovská nemocnice,Psychiatrická ambulance,"Plzeňská 929, Klatovy II 339 01, Plzeňský kraj",leona.jehlikova@klatovy.nemocnicepk.cz,+420376335970,https://klatovy.nemocnicepk.cz,https://klatovy.nemocnicepk.cz/kontakt/,je treba aktualizovat,matched,,"scraped_contacts_telefon, scraped_contacts_email",,,
65,MUDr. Libuše Kvasničková,Psychiatrická ambulance,"Liberecká 15, Jablonec nad Nisou (část) 466 01, Liberecký kraj",liba_k@volny.cz,+420483713735,https://nrpzs.uzis.cz/detail-35916-mudr-libuse-kvasnickova.html,https://www.nzip.cz/poskytovatel/specializovana-ambulance/60254114000000,https://www.nzip.cz/poskytovatel/specializovana-ambulance/60254114000000,unmatched,"Nemá web, telefon je ok, email nemá, dal jsem tam o něco lepší web ale jsou docela totžné",,,,
66,Psychiatrická ambulance MUDr. Martin Dejdar,Psychiatrická ambulance,"Na žertvách 2431/21, Libeň (Praha 8) (část) 180 00, Hlavní město Praha",dejdar@dejdar-martin.cz,+420607535595,http://www.dejdar-martin.cz/,https://dejdar-martin.cz,https://dejdar-martin.cz,unmatched,"tohle je ok, možná to crawler nenašel",,,,
67,MUDr. Kateřina Volfová,Psychiatrická ambulance,"Kpt. Jaroše č.p. 2876, Tábor (část) 390 01, Jihočeský kraj",,+420725447100,https://www.registrlekaru.cz/ordinace-psychiatrie-katerina-volfova-17876/,https://www.firmy.cz/detail/2613434-mudr-katerina-volfova-psychiatricka-ambulance-tabor.html,nejde nacist kontakty - https://www.firmy.cz/detail/2613434-mudr-katerina-volfova-psychiatricka-ambulance-tabor.html,matched,"Nejde protože to není viditelné, ale musíš klikat. Tady informace na firmy.cz jsou asi méně spolehlivé a možná by tenhle kontakt mohl být vždy manuálně updated",scraped_contacts_telefon,,,
76,Mgr. et Mgr. Michal Hanzlovský,Klinický psycholog,"Komenského 12, Jindřichův Hradec I 377 01, Jihočeský kraj",,+420606237063,https://mudrslanina.webnode.cz/_files/200000069-75c1e75c20/Medajlonek%20Hanzlovsk%C3%BD.pdf,https://www.slaninovi.com/,https://www.slaninovi.com/,unmatched,,,,,
99,Klinický psycholog Mgr. Marta Beníčková,Klinický psycholog,"J. E. Purkyně 365, Uherské Hradiště 686 68, Zlínský kraj",benicekm@nemuh.cz,+420572529852,http://psychologuh.cz/,http://psychologuh.cz/,?,matched,,scraped_contacts_telefon,,,
107,Občanská poradna Prachatice,Odborné sociální poradenství,"Zlatá stezka 145, Prachatice 383 01, Jihočeský kraj",poradna@krebul.cz,+420723123093,https://www.krebul.cz/obcanska-poradna,https://www.slaninovi.com/,https://www.slaninovi.com/,unmatched,,,,,
122,Občanská poradna Liberec,Odborné sociální poradenství,"Švermova 32/35, Františkov-Liberec X 460 10, Liberecký kraj",poradna@d-os.net,+420777098277,www.d-os.net,https://d-os.net/o-nas/kontakty,https://d-os.net/o-nas/kontakty,matched,,"scraped_contacts_telefon, scraped_contacts_email",,,https://www.d-os.net
125,"Občanská poradna Liberec - kontaktní pracoviště Jablonec nad Nisou, Spolkový dům",Odborné sociální poradenství,"Emilie Floriánové 1376/8, Jablonec nad Nisou (část) 466 01, Liberecký kraj",poradna.jablonec@d-os.net,+420775077618,www.d-os.net,https://d-os.net/o-nas/kontakty,https://d-os.net/o-nas/kontakty,unmatched,,,,,https://www.d-os.net
128,Občanská poradna Liberec - kontaktní pracoviště Frýdlant v čechách - POSEC,Odborné sociální poradenství,"Havlíčkovo nám. 304, Frýdlant 464 01, Liberecký kraj",poradna.frydlant@d-os.net,+420775077234,www.d-os.net,https://d-os.net/o-nas/kontakty,https://d-os.net/o-nas/kontakty,unmatched,,,,,https://www.d-os.net
129,Občanská poradna Liberec - kontaktní pracoviště Nový Bor,Odborné sociální poradenství,"Wolkerova 446, Nový Bor 473 01, Liberecký kraj",poradna.novybor@d-os.net,+420774496261,www.d-os.net,https://d-os.net/o-nas/kontakty,https://d-os.net/o-nas/kontakty,unmatched,,,,,https://www.d-os.net
